,X_centroid,Y_centroid,Hoechst,AF1,CD31,Ki-67,AF2,CD163,CD20,CD4,CD8a,CD68,PD-L1,FOXP3,E-Cadherin,PD-1,CD45,Pan-CK,SMA,Cell type
90224,1985.5,4949.8,7441.8511,1340.959,354.3436,380.9333,437.0308,754.718,1535.041,1131.7539,369.2051,724.5641,423.8462,288.6461,234.4718,314.0974,1515.359,218.7231,289.4974,Others
90225,2028.9,4950.2,7991.2173,1378.9039,372.3474,423.4859,461.4887,539.3672,744.5621,793.5989,404.2062,707.1836,344.4492,252.404,246.9435,288.3333,1173.3785,223.0876,330.4124,CD4+ CD68+
90226,1944.3,4952.8,13505.3662,1295.447,373.4865,364.2516,434.0811,290.1684,4034.3887,366.9813,306.2391,266.2578,318.4906,257.8711,234.9834,284.2869,2306.6155,218.2328,277.0083,CD20+
90227,2023.0,4952.2,11709.2939,1369.1698,390.8223,403.4271,462.7613,291.1167,1019.3448,476.3103,1168.8779,281.5146,318.2971,253.3103,243.443,299.1432,1376.6154,220.0663,304.2944,Others
90228,1976.6,4951.6,11934.5586,1268.3569,374.9399,393.4876,426.3887,393.4276,1040.3887,852.7385,1483.2756,500.6431,349.9364,257.8905,239.4382,401.5194,2216.2439,216.2827,276.5689,Others
90229,1994.4,4951.7,14345.6006,1400.6869,396.7316,404.7668,465.2332,306.3706,981.8914,1035.4921,574.7316,274.3546,315.2236,277.2907,241.5623,299.9936,1872.4249,221.6422,276.0767,CD4+
90230,2075.3,4951.6,11274.5059,1216.7316,360.1734,380.5677,433.019,554.9382,480.8218,1607.5653,930.9311,270.0879,315.171,1099.2162,244.4751,296.1425,1652.9359,223.8266,400.6413,Others
90232,1988.8,4952.5,13373.1689,1343.0365,366.6712,389.4155,441.3744,365.4064,1391.8037,1788.9132,434.1005,275.0411,354.0046,335.5891,245.1096,364.5936,2616.5388,217.4794,285.5068,CD20+ CD4+
90233,2082.1,4952.6,13246.0967,1349.6171,389.0743,392.5613,459.2714,394.2119,1173.2416,418.1896,281.6952,268.7137,296.4052,254.5613,241.5279,276.8922,967.3755,228.7769,285.9814,CD20+
90235,1956.1,4952.1,9262.7031,1352.4058,372.6884,358.1594,433.4131,286.7174,4970.9927,654.0507,306.4493,260.2391,309.3478,256.6956,240.0652,306.7464,2513.0217,218.0362,297.7536,CD20+
90236,2087.0,4953.8,8890.4873,1585.1125,474.14,422.37,507.2575,430.215,1423.29,370.8075,280.6125,268.97,296.6675,239.3275,245.9325,269.555,658.105,232.065,288.7725,CD20+
90238,1938.6,4957.0,6637.8364,1454.3479,379.0424,392.4478,451.4297,315.6929,2976.8169,481.6898,307.6203,637.8865,381.5703,263.8079,239.6399,286.4191,1761.3978,222.8079,277.8835,Others
90239,1951.9,4953.9,13418.3486,1439.6405,392.9663,424.691,455.6966,281.2865,2232.4832,353.3371,304.2191,265.1685,315.5056,258.8708,249.5618,277.6461,1245.3933,231.6966,297.264,CD20+
90240,2001.6,4954.2,12673.543,1320.9807,358.119,407.045,443.4502,319.4019,625.0225,1040.9293,304.9421,302.9872,321.7202,321.1929,241.8424,307.6174,1429.3408,229.418,280.2058,CD4+
90241,2010.7,4954.4,10480.6123,1267.9458,362.4237,382.4558,426.0141,290.4377,908.4337,1041.0863,482.01,270.1486,305.7751,1253.6506,242.2992,317.0462,1621.6326,231.759,279.3715,FOXP3+ CD4+
90243,1959.0,4955.4,15507.9355,1160.4415,362.1559,356.4762,412.658,273.3203,2604.7576,410.0952,280.0433,249.1082,306.1688,251.1169,246.1255,282.9957,1523.2035,224.5498,283.3377,CD20+
90244,1931.3,4956.3,11316.624,1359.5081,359.6838,368.6162,448.3703,288.3487,2851.4351,441.3757,308.7784,352.6459,313.8216,253.6297,247.9946,302.573,1478.4324,228.0865,290.0811,CD20+
90246,1963.8,4955.9,15235.3203,1277.8867,379.4062,393.6953,435.8008,279.3164,1843.168,389.7969,285.9023,256.8672,310.5234,246.6875,244.5859,282.8047,1263.3242,229.3867,288.0117,CD20+
90247,2079.4,4955.6,12687.125,1453.8334,390.4514,420.9375,439.9514,832.5486,1012.868,933.2847,296.6736,342.5903,376.5555,412.1805,244.6458,288.2778,1431.3264,231.75,291.7083,Others
90249,1949.6,4957.8,12485.1309,1369.2854,377.5475,380.4987,444.1774,281.6761,3710.5938,354.6478,302.9743,252.3265,303.8098,247.5476,247.3728,296.4139,1988.5476,222.3573,285.2879,CD20+
90250,1969.9,4957.0,6499.6289,1602.0577,394.0021,427.9113,478.8763,434.3051,1343.2433,775.7814,325.2866,679.1031,376.266,253.6948,246.5711,312.501,1345.3196,220.9361,294.6,Others
90251,1977.3,4958.1,10679.8486,1594.0714,399.5893,459.8929,472.6138,446.8795,1601.8995,922.221,454.5871,430.6094,369.9665,257.5558,239.2321,429.3371,1551.5267,218.0558,284.7411,CD20+ CD4+
90252,1982.8,4955.7,11425.9258,1334.7194,354.4925,399.4,436.9075,351.7612,1444.6268,1015.5403,387.4896,408.8836,335.3791,284.791,235.6716,488.2149,2014.7015,226.7224,288.8358,CD20+ CD4+
90255,2017.6,4957.2,14174.3066,1314.8794,364.5479,385.8438,439.4658,280.189,2166.3289,632.0712,505.5096,265.1397,306.5479,319.4849,242.5562,302.8,1229.7836,223.1014,288.6521,CD20+
90256,1991.1,4957.6,11641.5332,1375.2086,367.3613,397.0323,449.2323,317.357,2588.1162,1264.1892,437.2151,268.8,332.1957,529.0538,244.5828,382.6645,2176.9033,223.7183,276.2323,Others
90257,2094.4,4957.8,3426.939,1601.1089,399.2571,459.817,469.1351,1546.2637,509.4401,499.6449,286.2614,358.3878,328.0087,244.9412,252.2135,270.6362,334.1982,230.2222,287.61,CD163+
90260,1955.1,4958.8,11206.8047,1391.7653,379.3609,363.5174,449.713,286.4826,4134.478,352.2217,301.0565,252.8826,290.9522,252.1261,243.9522,290.8261,1754.3304,217.9478,295.4609,CD20+
90263,1999.2,4959.1,6556.8921,1624.4473,373.6273,418.509,485.3496,564.3214,2942.6582,1202.3933,354.9872,615.6349,357.8946,341.2519,241.0128,315.8483,1853.8457,218.7327,280.5373,Others
90264,2044.4,4959.7,4563.7842,2220.0928,670.4655,497.6982,588.1383,345.1417,564.2884,374.3137,314.4081,273.7892,316.5379,253.027,248.3255,292.973,335.6509,226.8701,279.0793,Others
90265,2070.8,4961.2,4784.314,1560.3816,749.1743,412.6875,501.7056,295.9967,564.324,355.3059,288.5,254.6283,324.0691,251.5757,243.5362,276.6793,349.6546,226.8026,472.8207,Others
90267,2026.4,4959.7,10469.1953,1501.7494,513.7253,407.0044,485.7582,324.0923,1421.7494,378.033,308.5385,284.0989,313.0439,245.411,242.0637,281.4813,824.6901,224.7626,380.567,CD20+
90268,2033.0,4960.3,8535.6533,1442.8876,812.5855,397.1499,463.9602,312.8923,916.5059,366.096,292.911,254.3513,322.3044,248.2881,245.0515,285.4333,544.7963,220.6487,316.5386,Others
90269,2076.2,4959.7,4784.0137,1593.1835,395.6789,429.5092,493.6881,911.078,508.1284,442.2248,290.4404,332.8303,330.367,253.0963,246.3257,276.3073,526.7202,225.3532,408.8716,CD163+
90271,2051.8,4958.9,8648.4629,1714.8726,472.0859,462.6981,530.0,316.4432,511.8255,372.5291,307.5596,279.8449,329.6981,265.4737,242.1246,307.4044,1075.9502,231.2105,266.1163,Others
90272,2081.0,4962.1,6312.2734,1722.8082,455.7136,482.2839,464.6956,1894.2354,660.2686,725.6675,384.0384,616.1049,395.9156,262.7852,245.2072,308.2148,1151.7877,225.422,283.4143,CD163+ CD4+ CD68+
90274,2010.6,4961.4,16353.7539,1378.7281,386.7518,480.1466,458.8416,286.513,802.8723,855.4775,1679.844,284.4681,322.974,287.2695,241.5437,325.4965,1973.0662,227.7612,274.617,CD8a+ CD4+
