Filename,Number of Objects,Number of Features
LSP12022-D7_LSP12022-D7-cellRingMask.csv,13037,50
LSP12022-D8_LSP12022-D8-cellRingMask.csv,1018,50
LSP12022-D9_LSP12022-D9-cellRingMask.csv,2529,50
LSP12022-E10_LSP12022-E10-cellRingMask.csv,8566,50
LSP12022-E11_LSP12022-E11-cellRingMask.csv,7034,50
LSP12022-E1_LSP12022-E1-cellRingMask.csv,27158,50
LSP12022-E2_LSP12022-E2-cellRingMask.csv,13529,50
LSP12022-E3_LSP12022-E3-cellRingMask.csv,7,50
LSP12022-E4_LSP12022-E4-cellRingMask.csv,9477,50
LSP12022-E5_LSP12022-E5-cellRingMask.csv,15340,50
LSP12022-E6_LSP12022-E6-cellRingMask.csv,12617,50
LSP12022-E7_LSP12022-E7-cellRingMask.csv,12953,50
LSP12022-E8_LSP12022-E8-cellRingMask.csv,7026,50
LSP12022-E9_LSP12022-E9-cellRingMask.csv,7439,50
LSP12022-F10_LSP12022-F10-cellRingMask.csv,5479,50
LSP12022-F11_LSP12022-F11-cellRingMask.csv,14460,50
LSP12022-F1_LSP12022-F1-cellRingMask.csv,16382,50
LSP12022-F2_LSP12022-F2-cellRingMask.csv,2270,50
LSP12022-F3_LSP12022-F3-cellRingMask.csv,4067,50
LSP12022-F4_LSP12022-F4-cellRingMask.csv,6416,50
LSP12022-F5_LSP12022-F5-cellRingMask.csv,10369,50
LSP12022-F6_LSP12022-F6-cellRingMask.csv,28082,50
LSP12022-F7_LSP12022-F7-cellRingMask.csv,1392,50
LSP12022-F8_LSP12022-F8-cellRingMask.csv,438,50
LSP12022-F9_LSP12022-F9-cellRingMask.csv,18881,50
LSP12022-G10_LSP12022-G10-cellRingMask.csv,62,50
LSP12022-G11_LSP12022-G11-cellRingMask.csv,8506,50
LSP12022-G1_LSP12022-G1-cellRingMask.csv,14863,50
LSP12022-G2_LSP12022-G2-cellRingMask.csv,29,50
LSP12022-G3_LSP12022-G3-cellRingMask.csv,17356,50
LSP12022-G4_LSP12022-G4-cellRingMask.csv,1448,50
LSP12022-G5_LSP12022-G5-cellRingMask.csv,19067,50
LSP12022-G6_LSP12022-G6-cellRingMask.csv,8897,50
LSP12022-G7_LSP12022-G7-cellRingMask.csv,7025,50
LSP12022-G8_LSP12022-G8-cellRingMask.csv,41,50
LSP12022-G9_LSP12022-G9-cellRingMask.csv,4623,50
LSP12022-H10_LSP12022-H10-cellRingMask.csv,763,50
LSP12022-H11_LSP12022-H11-cellRingMask.csv,1749,50
LSP12022-H1_LSP12022-H1-cellRingMask.csv,2454,50
LSP12022-H2_LSP12022-H2-cellRingMask.csv,6256,50
LSP12022-H3_LSP12022-H3-cellRingMask.csv,8368,50
LSP12022-H4_LSP12022-H4-cellRingMask.csv,13614,50
LSP12022-H5_LSP12022-H5-cellRingMask.csv,425,50
LSP12022-H6_LSP12022-H6-cellRingMask.csv,377,50
LSP12022-H7_LSP12022-H7-cellRingMask.csv,4312,50
LSP12022-H8_LSP12022-H8-cellRingMask.csv,621,50
LSP12022-H9_LSP12022-H9-cellRingMask.csv,9248,50
